step_id,iso_date,branch,message
1,2026-01-30T12:00:00Z,main,chore(tooling): add worker tests to pytest testpaths
2,2026-02-01T12:00:00Z,main,feat(worker): text chunking helpers
3,2026-02-03T12:00:00Z,main,test(worker): chunking unit tests
4,2026-02-05T12:00:00Z,main,"feat(worker): ingest from S3, embed, manifest, job status"
5,2026-02-07T12:00:00Z,main,chore(worker): Docker image copies chunking module
6,2026-02-09T12:00:00Z,main,feat(infra): ingest pipeline and worker Bedrock IAM
7,2026-02-11T12:00:00Z,main,"feat(infra): static web stack (S3, CloudFront, placeholder deploy)"
8,2026-02-13T12:00:00Z,main,chore(infra): register web static stack in CDK app
9,2026-02-15T12:00:00Z,main,feat(api): ingest jobs require s3_key; Step Functions payload
10,2026-02-17T12:00:00Z,main,"feat(web): Playground search, query, and KB list"
11,2026-02-19T12:00:00Z,main,docs(web): VITE_API_URL and VITE_JWT_TOKEN example
12,2026-02-21T12:00:00Z,main,ci: CDK synth via python3 app.py (no global cdk CLI)
13,2026-02-23T12:00:00Z,main,chore(history): replace commits.csv (main timeline without ladder registry)
14,2026-02-25T12:00:00Z,main,feat(sdk): ControlPlaneClient over urllib for health and KB APIs
15,2026-02-27T12:00:00Z,main,fix(cli): job-create requires --s3-key
